feature,chrome,firefox,safari,interop
attr-contents,100.0,98.8,100.0,98.8
table,100.0,98.7,100.0,98.7
clip,100.0,98.6,99.4,98.6
float-clear,100.0,98.6,100.0,98.6
font-size,98.9,99.7,98.6,98.6
font-variation-settings,100.0,98.9,98.6,98.6
textarea,100.0,98.6,98.6,98.6
borders,99.4,99.6,98.5,98.5
css-supports,98.7,99.7,98.3,98.3
has,99.0,99.3,98.3,98.3
min-max-clamp,99.0,99.7,98.3,98.3
scrollbar-gutter,100.0,98.3,99.1,98.3
color-function,100.0,100.0,98.2,98.2
file,99.5,99.1,98.2,98.2
background-color,100.0,98.5,98.1,98.1
charset,100.0,98.1,100.0,98.1
tab-size,100.0,99.2,98.1,98.1
webgl,99.8,98.2,98.1,98.1
xpath,99.3,98.1,99.4,98.1
structured-clone,100.0,100.0,98.0,98.0
z-index,98.0,98.0,98.0,98.0
flexbox-gap,100.0,97.9,97.9,97.9
contain-inline-size,100.0,100.0,97.8,97.8
performance,98.7,97.8,97.8,97.8
trig-functions,100.0,97.8,98.8,97.8
font-variant-east-asian,100.0,97.7,100.0,97.7
script,99.6,99.0,97.7,97.7
canvas-roundrect,100.0,100.0,97.6,97.6
contain-paint,100.0,100.0,97.6,97.6
exp-functions,100.0,97.6,100.0,97.6
font-variant-numeric,100.0,97.6,100.0,97.6
selection-api,99.9,97.6,99.8,97.6
font-variant,98.8,97.5,98.8,97.5
broadcast-channel,97.4,100.0,100.0,97.4
contain-layout,98.7,97.4,97.4,97.4
font-variant-ligatures,100.0,97.4,98.8,97.4
appearance,99.7,100.0,97.3,97.3
grid,99.1,98.0,97.3,97.3
page-visibility,100.0,100.0,97.3,97.3
background-repeat,97.2,98.6,97.2,97.2
image-set,97.2,98.2,99.1,97.2
matchmedia,97.2,100.0,98.1,97.2
nesting,99.4,100.0,96.9,96.9
scroll-into-view,97.5,98.1,96.9,96.9
font-style,97.3,96.8,97.3,96.8
motion-path,99.4,98.0,96.7,96.7
gradients,100.0,98.6,96.6,96.6
object-position,96.6,100.0,98.3,96.6
read-write-pseudos,100.0,96.4,100.0,96.4
requestclose,100.0,100.0,96.4,96.4
trusted-types,97.0,99.3,96.4,96.4
form-associated-custom-elements,96.3,97.2,97.2,96.3
state,98.1,100.0,96.3,96.3
cursor,96.2,96.2,97.7,96.2
import-maps,100.0,96.2,98.2,96.2
channel-messaging,98.2,98.5,96.1,96.1
document-write,96.1,97.5,97.2,96.1
list-style,96.1,100.0,96.1,96.1
media-queries,99.0,96.1,99.0,96.1
transforms2d,99.8,96.1,96.4,96.1
font-variant-caps,100.0,96.0,100.0,96.0
registered-custom-properties,96.0,96.0,99.0,96.0
web-animations,96.0,96.3,96.9,96.0
starting-style,100.0,95.8,100.0,95.8
contrast-color,100.0,95.7,100.0,95.7
dataset,97.8,100.0,95.7,95.7
server-sent-events,95.7,100.0,99.3,95.7
border-image,95.6,99.7,95.7,95.6
autonomous-custom-elements,99.1,98.8,95.5,95.5
document-caretpositionfrompoint,100.0,100.0,95.5,95.5
js-modules-workers,99.2,95.5,95.5,95.5
lh,100.0,100.0,95.5,95.5
content-visibility,97.8,95.6,95.4,95.4
console,100.0,95.3,95.3,95.3
font-size-adjust,99.7,95.3,99.9,95.3
postmessage,97.1,96.7,95.3,95.3
template,95.8,95.3,95.8,95.3
js-modules-shared-workers,99.0,95.2,95.2,95.2
web-locks,97.5,97.5,95.2,95.2
width-height,99.1,96.4,95.2,95.2
constructed-stylesheets,95.1,100.0,100.0,95.1
scope,97.1,96.7,95.1,95.1
steps-easing,97.6,98.8,95.1,95.1
xhr,95.1,98.8,98.2,95.1
box-sizing,100.0,97.8,95.0,95.0
events,96.8,95.0,95.0,95.0
flexbox,98.5,96.3,94.9,94.9
form,98.2,94.9,98.5,94.9
dominant-baseline,94.7,98.9,95.4,94.7
constraint-validation,100.0,94.6,94.8,94.6
navigation-timing,99.6,95.4,94.5,94.5
scroll-behavior,100.0,100.0,94.5,94.5
wasm,94.5,96.2,98.4,94.5
input-selectors,94.4,94.4,94.4,94.4
progress,94.4,100.0,100.0,94.4
shape-function,100.0,100.0,94.4,94.4
calc,99.4,94.3,96.8,94.3
dedicated-workers,94.3,99.4,98.4,94.3
referrer-policy,99.7,94.9,94.3,94.3
text-shadow,99.0,96.9,94.2,94.2
bdi,100.0,94.1,100.0,94.1
domparser,95.8,97.2,94.0,94.0
paint-order,100.0,94.0,100.0,94.0
invoker-commands,94.1,94.2,93.9,93.9
font-palette,100.0,99.2,93.8,93.8
overflow-wrap,95.5,93.6,95.5,93.6
input-range,97.8,93.5,97.8,93.5
opacity,94.7,93.4,99.6,93.4
media-playback-quality,100.0,93.3,100.0,93.3
text-underline-position,96.6,100.0,93.1,93.1
scrollbar-color,100.0,100.0,93.0,93.0
margin,98.7,92.9,94.1,92.9
oklab,92.9,92.9,92.9,92.9
slot,93.9,99.0,92.9,92.9
masks,100.0,99.8,92.8,92.8
contenteditable,95.8,95.8,92.7,92.7
letter-spacing,93.6,93.9,92.6,92.6
input-date-time,99.4,92.5,92.5,92.5
mixed-content,95.8,93.4,92.5,92.5
backdrop-filter,97.5,99.2,92.4,92.4
iframe-sandbox,96.6,94.9,92.4,92.4
background,95.4,95.9,92.3,92.3
hr,100.0,92.3,100.0,92.3
ic,100.0,100.0,92.3,92.3
indexeddb,100.0,92.5,92.3,92.3
list-elements,94.2,92.2,94.2,92.2
element-from-point,100.0,93.1,92.0,92.0
canvas,96.1,95.2,91.8,91.8
font-shorthand,92.4,99.8,91.8,91.8
server-timing,98.1,93.0,91.8,91.8
zstd,100.0,100.0,91.8,91.8
ch,100.0,95.8,91.7,91.7
currentcolor,91.7,91.7,91.7,91.7
fetch,92.3,92.0,91.7,91.7
http-authentication,97.9,100.0,91.7,91.7
supports,92.6,92.6,91.7,91.7
translate,100.0,91.7,100.0,91.7
unset-value,100.0,100.0,91.7,91.7
base,91.4,94.5,98.2,91.4
caret-color,91.8,91.4,91.8,91.4
push,93.5,91.4,91.8,91.4
visual-viewport,94.3,91.4,94.3,91.4
prefers-color-scheme,100.0,100.0,91.3,91.3
beacons,97.1,91.2,99.0,91.2
font-family,93.0,94.7,91.2,91.2
opacity-svg,91.2,93.5,100.0,91.2
container-queries,97.3,91.1,93.9,91.1
resize-observer,97.8,97.1,91.1,91.1
font-feature-settings,100.0,90.9,98.5,90.9
lab,90.9,90.9,90.9,90.9
lang-attr,100.0,90.9,95.5,90.9
