sha,date,chrome-version,chrome,firefox-version,firefox,safari-version,safari
27406c9d238ac80c43bb62e87cd0305f59294527,2018-07-01,67.0.3396.99,396.0754404028353,61.0,1310.3255320706364,11.1,3662.3390179142434
6e559a60ecfa38ad6cc434911dd0995a63900db6,2018-07-04,67.0.3396.99,396.8296700301398,61.0,1314.614918000909,11.1,3658.7194551701605
6562ed003eebcd25d093ae52d68de28a0ae0d786,2018-07-05,67.0.3396.99,396.246327746083,61.0,1304.6891722396458,11.1,3656.3937368498273
9f00a60d91ba84e52dac35d6e08da2050774811d,2018-07-06,67.0.3396.99,398.4129944127497,61.0.1,1306.8139532811765,11.1,3651.6927779277803
15224088a20d1dfb8a85bfe907f3439abcd098c3,2018-07-07,67.0.3396.99,400.04467705385724,61.0.1,1310.206887357338,11.1,3663.3402752094553
7400064b74cfdd7c1a81d0de38e2846b44af77fc,2018-07-08,67.0.3396.99,397.17966107941635,61.0.1,1301.9008058263007,11.1,3652.9039005569675
172489943de49dde6b3aa9d5d5ce5e6cc3cbd6e9,2018-07-09,67.0.3396.99,398.72410552386077,61.0.1,1314.308251523878,11.1,3660.21119564131
d423033c8bc00a812698819d6fc22eb96c210d00,2018-07-10,67.0.3396.99,395.72708903845427,61.0.1,1304.0757960448436,11.1,3653.3446029329607
8fea122cf1ed5b392c86aae5e445e7553ad83deb,2018-07-11,67.0.3396.99,398.1440851462388,61.0.1,1302.6898347807696,11.1,3652.9774890043886
b7f4f1d1ea5708bfb7578090f19c75dcf21cbef2,2018-07-12,67.0.3396.99,398.8290691717978,61.0.1,1313.2664680046544,11.1,3654.515064208324
9e4a93afa661c4a6ecb39ce810fcc77d73cd6405,2018-07-13,67.0.3396.99,397.66382498023785,61.0.1,1317.5066787095209,11.1,3658.361137511128
255adeaa04cd95bb3ccb2ff8922885151f2dc882,2018-07-14,67.0.3396.99,400.4110529774659,61.0.1,1315.7971208956153,11.1,3661.790353085996
59fa23d519b9d6ef0892170ba86ef0b9aee6ad24,2018-07-15,67.0.3396.99,397.062335028748,61.0.1,1314.0359116458085,11.1,3663.0957061722593
f582e7ad3b06d37fa65957aa93dc62bf7429e803,2018-07-16,67.0.3396.99,399.24438631079926,61.0.1,1323.218451328348,11.1,3664.6155800591723
df5392444342a1c00422096a2febb9ceb0edf250,2018-07-17,67.0.3396.99,396.07771837345024,61.0.1,1321.411575581853,11.1,3658.2665989272305
085d47ef10ac636e73fe04e5c232046b329aa382,2018-07-18,67.0.3396.99,398.8706984755406,61.0.1,1310.9702099244923,11.1,3660.6644946753127
996712754849a80d37371f01e749b06d2a34a7fc,2018-07-19,67.0.3396.99,398.1163052117224,61.0.1,1316.7200371183646,11.1,3666.3695711302635
013e509d9a80f47443664a4db86a6fbb1176093c,2018-07-20,67.0.3396.99,402.79926990411207,61.0.1,1316.887085446631,11.1,3656.334596258833
20f298166ae152660df1f3ac17b3239f93dcb113,2018-07-21,67.0.3396.99,408.1149477456591,61.0.1,1314.3697988195202,11.1,3661.6184940003354
36711c4fbafa1d61edb0fca0669422ffcae3a0ce,2018-07-22,67.0.3396.99,404.563665694377,61.0.1,1322.6482074471712,11.1,3665.780937436443
a30e3abe5d345bae6e37ab022909e911614fa050,2018-07-23,67.0.3396.99,407.16329705343327,61.0.1,1320.0741692275117,11.1,3661.628428543625
f9cb1ddc13c35945ac40c6e93f9ae25887dbd811,2018-07-25,68.0.3440.75,481.6512999341222,61.0.1,1302.8109820700895,11.1,3680.185580564656
c54b4511852cd7acdb0aed4108f38487ab95418f,2018-07-26,68.0.3440.75,483.5355917130259,61.0.1,1301.4535608954575,11.1,3685.868303459639
a71bbf196f17d9da2fec0a3b842aa267dff9c8cb,2018-07-27,68.0.3440.75,483.9718577898671,61.0.1,1295.2662324159407,11.1,3681.0355074899426
ba4921d054808a44c2966507c19861ca729a76a2,2018-07-28,68.0.3440.75,480.1872424052517,61.0.1,1302.7064316144317,11.1,3675.229105311721
ba4921d054808a44c2966507c19861ca729a76a2,2018-07-29,68.0.3440.75,481.83596035396954,61.0.1,1297.1946449347943,11.1,3670.196666044932
d892efb842377ae0b73b39a0d0a80f0b9a998c8f,2018-07-30,68.0.3440.75,484.92334774135696,61.0.1,1295.1558523816973,11.1,3678.122883719503
8b48137d3999ede7ba459419a5d986abc0e2e184,2018-07-31,68.0.3440.75,486.60402742598257,61.0.1,1300.1321607296622,11.1,3675.3845996846458
4a15e98c1339681493dff207de2c69ea29efa602,2018-08-02,68.0.3440.84,487.42729522448025,61.0.1,1298.1884241858731,11.1,3686.485912937792
f6a31bd95542385975678941578b2460766d32ed,2018-08-03,68.0.3440.84,487.31242372224654,61.0.1,1302.8735013230846,11.1,3683.5985077569508
399997d1f10a529300cc20b5860e6db724b2b48f,2018-08-04,68.0.3440.84,484.9759497451975,61.0.1,1300.4986240251367,11.1,3699.3351766063925
a722b94497af955c474f592e55fefde86effd9b1,2018-08-05,68.0.3440.84,487.3096517194745,61.0.1,1295.0633656644306,11.1,3692.8607846033065
edb72456b7341d3dcc14323423a295261f67b25f,2018-08-06,68.0.3440.84,488.64298505280783,61.0.1,1294.92643732874,11.1,3697.367767903194
eea0b54014e970a2f94f1c35ec6e18ece76beb76,2018-08-07,68.0.3440.84,487.94561663175523,61.0.1,1299.3623991422921,11.1,3710.094509085516
c0a1bc68d7f463a0f7b8a318d3cdc2b56e2cc044,2018-08-16,68.0.3440.106,495.92141642535677,61.0.2,1318.959543654542,11.1,3714.1161658591536
203c34855f6871d6e55eaf7b55b50dad563f781f,2018-08-18,68.0.3440.106,495.6714164253568,61.0.2,1309.2801399313305,11.1,3708.4132647890883
6aef6676d2f95c29de17666cc70d61b517939fbf,2018-08-19,68.0.3440.106,494.8839994889897,61.0.2,1313.1714560691616,11.1,3713.401214997499
268ce53f61d5005c808df3991c5ae47844fe66d8,2018-09-01,68.0.3440.106,506.22792482952457,61.0.2,1332.8539793805462,11.1,3714.721188464083
3fd70a99bbed97c5b31e08a40162901c7355af7a,2018-09-02,68.0.3440.106,504.03991434509044,61.0.2,1337.0161839337627,11.1,3720.127777295321
3a58de991a53a5a358234a8ad4e3d7f8d733d34a,2018-09-03,68.0.3440.106,503.2732476784237,61.0.2,1336.1587277934118,11.1,3722.2872787049996
5051858e95936197d354cc18ea88365cb9d3e690,2018-09-16,69.0.3497.92,505.5902851670394,62.0,1334.60193615445,11.1,3777.0428735034134
7897f9d5beff624590d2fc254d2a7eca6e2b1e8f,2018-09-22,69.0.3497.100,489.883509922151,62.0.2,1099.8110351495015,11.1,3722.3810828298238
5d58e091e71aa3162fe9d0e40858351c8063ca08,2018-09-23,69.0.3497.100,486.9148977936865,62.0.2,1091.9728629723056,11.1,3738.125680448135
61efc6b6063091fba52e182bc332a5815de0765c,2018-09-24,69.0.3497.100,486.4614197298791,62.0.2,1106.387183625368,11.1,3724.3156847267464
b040cb2a07264d35b9f47cd9deb2fb2889fca6d4,2018-09-25,69.0.3497.100,497.78691454505116,62.0.2,1046.2506759824837,11.1,3849.2755355986214
59909759c4e16ea97804409f7612b7981662d48b,2018-09-26,69.0.3497.100,493.86107356645795,62.0.2,1070.4894858705572,11.1,3852.8320164952315
062aedcf8118716290f3f7167ad9922b416a518e,2018-09-27,69.0.3497.100,497.73646289047116,62.0.2,1070.9833264189595,11.1,3856.3934189879287
a6e260769e460e764af9a40a8691b0d31e5d3572,2018-09-28,69.0.3497.100,508.6708544248626,62.0.2,1074.6061971762067,11.1,3843.0450920713643
138337bf938623dbda7c90cbcab3e49aa8a52c0d,2018-09-29,69.0.3497.100,524.9384004961919,62.0.2,1353.0918092050256,11.1,3778.494823117171
2df7f9ff620cbdaa2928464892fb1dfb880fd6c6,2018-09-30,69.0.3497.100,516.8860936342745,62.0.2,1053.205873170285,11.1,3766.017835719867
